avg_motion,avg_edge_density,avg_texture,avg_temporal_information,avg_spatial_information,avg_color_complexity,scene_change_count,avg_motion_variance,avg_grain_noise,frame_rate,resolution,video_name
0.73,0.2,7.31,12.0,110.5,7.32,1.0,0.43,12.22,50,"(1280, 720)",720p50_mobcal_ter_segment_000.mp4
1.16,0.12,6.99,16.98,100.89,6.94,0.0,0.8,9.31,50,"(1280, 720)",720p50_mobcal_ter_segment_001.mp4
1.39,0.24,7.57,28.73,132.01,7.6,1.0,0.26,16.68,50,"(1280, 720)",720p50_parkrun_ter_segment_000.mp4
0.5,0.25,7.47,12.64,130.57,7.52,1.0,0.13,18.31,50,"(1280, 720)",720p50_parkrun_ter_segment_001.mp4
1.76,0.17,7.24,21.94,104.12,7.1,1.0,0.45,9.3,50,"(1280, 720)",720p50_shields_ter_segment_000.mp4
0.79,0.15,7.05,12.47,104.77,6.9,0.0,0.48,11.0,50,"(1280, 720)",720p50_shields_ter_segment_001.mp4
1.08,0.13,7.45,16.54,91.29,7.43,1.0,0.52,8.48,60,"(1280, 720)",720p5994_stockholm_ter_segment_000.mp4
0.59,0.14,7.53,12.79,94.53,7.49,0.0,0.32,9.74,60,"(1280, 720)",720p5994_stockholm_ter_segment_001.mp4
0.05,0.07,7.3,2.24,85.43,7.15,0.0,0.09,6.59,30,"(352, 288)",akiyo_cif_segment_000.mp4
0.05,0.07,7.3,2.24,85.53,7.15,0.0,0.08,6.61,30,"(352, 288)",akiyo_cif_segment_001.mp4
1.33,0.04,6.61,9.09,48.96,6.6,1.0,1.57,2.83,30,"(1920, 1080)",aspen_1080p_segment_000.mp4
1.67,0.12,7.22,15.2,94.48,7.21,5.0,1.48,6.91,30,"(1920, 1080)",aspen_1080p_segment_001.mp4
0.33,0.2,7.36,8.02,123.95,7.33,2.0,0.35,11.12,30,"(1920, 1080)",aspen_1080p_segment_002.mp4
2.49,0.09,7.09,30.93,116.83,6.87,0.0,2.18,6.51,25,"(1920, 1080)",blue_sky_1080p25_segment_000.mp4
0.65,0.12,6.96,8.0,85.5,7.0,0.0,0.9,7.31,30,"(352, 288)",bowing_cif_segment_000.mp4
0.47,0.11,6.86,5.07,85.38,6.91,0.0,0.69,7.31,30,"(352, 288)",bowing_cif_segment_001.mp4
0.05,0.1,6.6,2.39,87.92,6.53,0.0,0.06,9.21,30,"(352, 288)",bridge_close_cif_segment_000.mp4
0.05,0.1,6.59,2.32,86.64,6.52,0.0,0.06,9.06,30,"(352, 288)",bridge_close_cif_segment_001.mp4
0.05,0.1,6.59,2.36,86.3,6.52,0.0,0.06,9.16,30,"(352, 288)",bridge_close_cif_segment_002.mp4
0.05,0.1,6.6,2.3,86.52,6.53,0.0,0.06,9.14,30,"(352, 288)",bridge_close_cif_segment_003.mp4
0.05,0.09,6.6,2.17,86.21,6.53,0.0,0.06,8.87,30,"(352, 288)",bridge_close_cif_segment_004.mp4
0.05,0.09,6.6,2.1,85.8,6.53,0.0,0.06,8.65,30,"(352, 288)",bridge_close_cif_segment_005.mp4
0.05,0.09,6.61,2.27,87.3,6.54,0.0,0.06,8.87,30,"(352, 288)",bridge_close_cif_segment_007.mp4
0.05,0.09,6.6,2.18,86.92,6.54,0.0,0.06,8.82,30,"(352, 288)",bridge_close_cif_segment_008.mp4
0.05,0.1,6.61,2.24,86.3,6.55,0.0,0.06,8.95,30,"(352, 288)",bridge_close_cif_segment_009.mp4
0.05,0.1,6.6,2.24,85.06,6.54,0.0,0.06,8.98,30,"(352, 288)",bridge_close_cif_segment_010.mp4
0.05,0.1,6.6,2.24,85.14,6.55,0.0,0.06,8.97,30,"(352, 288)",bridge_close_cif_segment_011.mp4
0.05,0.1,6.61,2.27,85.25,6.55,0.0,0.06,8.98,30,"(352, 288)",bridge_close_cif_segment_012.mp4
0.05,0.04,7.05,1.38,66.74,6.72,0.0,0.05,5.15,30,"(352, 288)",bridge_far_cif_segment_000.mp4
0.05,0.04,7.04,1.37,66.69,6.71,0.0,0.05,5.14,30,"(352, 288)",bridge_far_cif_segment_001.mp4
0.05,0.04,7.03,1.36,66.72,6.7,0.0,0.05,5.14,30,"(352, 288)",bridge_far_cif_segment_002.mp4
0.05,0.04,7.02,1.35,66.72,6.69,0.0,0.05,5.14,30,"(352, 288)",bridge_far_cif_segment_003.mp4
0.05,0.04,7.0,1.35,66.97,6.67,0.0,0.05,5.21,30,"(352, 288)",bridge_far_cif_segment_004.mp4
0.05,0.04,6.99,1.36,67.22,6.66,0.0,0.05,5.33,30,"(352, 288)",bridge_far_cif_segment_005.mp4
0.05,0.04,6.97,1.44,66.89,6.64,0.0,0.08,5.32,30,"(352, 288)",bridge_far_cif_segment_007.mp4
0.06,0.04,6.95,1.56,66.86,6.62,0.0,0.11,5.32,30,"(352, 288)",bridge_far_cif_segment_008.mp4
0.05,0.04,6.93,1.39,66.76,6.61,0.0,0.05,5.27,30,"(352, 288)",bridge_far_cif_segment_009.mp4
0.05,0.04,6.91,1.39,66.84,6.59,0.0,0.06,5.26,30,"(352, 288)",bridge_far_cif_segment_010.mp4
0.05,0.04,6.9,1.38,66.93,6.57,0.0,0.06,5.24,30,"(352, 288)",bridge_far_cif_segment_011.mp4
0.05,0.04,6.88,1.39,66.92,6.56,0.0,0.06,5.24,30,"(352, 288)",bridge_far_cif_segment_012.mp4
2.08,0.21,7.26,26.42,156.83,7.22,0.0,0.94,17.29,30,"(352, 288)",bus_cif_segment_000.mp4
0.24,0.16,7.29,5.25,132.51,7.28,0.0,0.16,10.0,30,"(176, 144)",carphone_qcif_segment_000.mp4
0.44,0.19,7.4,10.46,134.16,7.37,0.0,0.53,11.02,30,"(176, 144)",carphone_qcif_segment_001.mp4
0.75,0.17,6.88,11.48,78.33,6.89,0.0,0.24,10.92,60,"(704, 576)",city_4cif_segment_000.mp4
0.67,0.15,6.8,8.74,74.85,6.81,0.0,0.23,9.4,60,"(704, 576)",city_4cif_segment_001.mp4
0.81,0.18,6.72,11.31,70.42,6.72,0.0,0.25,9.29,30,"(352, 288)",city_cif_segment_000.mp4
0.69,0.17,6.69,9.35,69.01,6.69,0.0,0.22,8.92,30,"(352, 288)",city_cif_segment_001.mp4
0.06,0.08,6.32,1.79,154.01,6.27,0.0,0.07,8.77,30,"(176, 144)",claire_qcif_segment_000.mp4
0.07,0.08,6.24,1.81,150.55,6.2,0.0,0.07,8.52,30,"(176, 144)",claire_qcif_segment_001.mp4
0.08,0.08,6.22,2.18,148.32,6.18,0.0,0.08,8.33,30,"(176, 144)",claire_qcif_segment_002.mp4
0.9,0.16,7.5,12.34,117.89,7.49,0.0,0.34,13.51,30,"(352, 288)",coastguard_cif_segment_000.mp4
0.76,0.16,7.45,10.68,120.78,7.44,0.0,0.34,13.47,30,"(352, 288)",coastguard_cif_segment_001.mp4
0.06,0.11,6.97,2.04,132.7,6.92,0.0,0.06,13.76,30,"(352, 288)",container_cif_segment_000.mp4
0.09,0.11,6.99,2.64,131.34,7.07,0.0,0.18,13.62,30,"(352, 288)",container_cif_segment_001.mp4
0.11,0.18,7.61,2.88,96.57,7.64,0.0,0.23,8.66,30,"(1920, 1080)",controlled_burn_1080p_segment_000.mp4
0.27,0.15,7.55,4.74,100.11,7.54,1.0,0.53,8.12,30,"(1920, 1080)",controlled_burn_1080p_segment_001.mp4
0.58,0.05,7.23,6.77,60.2,7.1,0.0,1.21,3.99,30,"(1920, 1080)",controlled_burn_1080p_segment_002.mp4
0.77,0.07,6.99,8.09,68.35,7.11,1.0,0.77,5.48,60,"(704, 576)",crew_4cif_segment_000.mp4
1.83,0.06,6.79,11.36,53.25,6.93,6.0,1.55,4.15,60,"(704, 576)",crew_4cif_segment_001.mp4
1.78,0.11,7.65,17.84,87.5,7.62,0.0,2.0,5.85,50,"(3840, 2160)",crowd_run_2160p50_segment_000.mp4
3.27,0.11,7.63,23.01,83.54,7.61,0.0,2.88,5.44,50,"(3840, 2160)",crowd_run_2160p50_segment_001.mp4
0.08,0.03,4.55,1.68,74.25,4.54,0.0,0.38,5.77,60,"(1920, 1080)",CSGO_segment_000.mp4
6.64,0.07,7.08,17.12,73.65,7.04,19.0,6.1,5.95,60,"(1920, 1080)",CSGO_segment_001.mp4
6.89,0.16,7.79,23.86,85.75,7.73,15.0,6.28,8.2,60,"(1920, 1080)",CSGO_segment_002.mp4
7.85,0.07,6.97,16.46,72.54,6.88,1.0,7.1,6.6,60,"(1920, 1080)",CSGO_segment_003.mp4
4.91,0.07,7.13,16.71,80.72,7.03,0.0,4.89,6.98,60,"(1920, 1080)",CSGO_segment_004.mp4
5.16,0.05,6.91,11.77,74.91,6.86,0.0,4.71,6.77,60,"(1920, 1080)",CSGO_segment_005.mp4
6.61,0.11,7.65,22.58,85.84,7.61,4.0,6.05,7.36,60,"(1920, 1080)",CSGO_segment_006.mp4
9.06,0.09,7.62,21.99,77.23,7.57,26.0,6.69,6.78,60,"(1920, 1080)",CSGO_segment_007.mp4
3.23,0.08,7.62,13.72,79.66,7.6,7.0,2.73,6.75,60,"(1920, 1080)",CSGO_segment_008.mp4
5.7,0.12,7.83,20.75,82.46,7.75,2.0,5.82,7.33,60,"(1920, 1080)",CSGO_segment_009.mp4
4.35,0.11,7.47,18.57,84.2,7.4,0.0,3.99,7.54,60,"(1920, 1080)",CSGO_segment_010.mp4
2.35,0.02,6.03,6.89,66.71,5.9,0.0,3.01,5.73,60,"(1920, 1080)",CSGO_segment_011.mp4
1.36,0.02,7.35,15.09,37.65,7.28,1.0,2.4,2.15,30,"(1920, 1080)",dinner_1080p30_segment_000.mp4
0.76,0.04,7.25,8.85,63.14,6.92,1.0,0.95,3.77,30,"(1920, 1080)",dinner_1080p30_segment_001.mp4
1.06,0.03,7.13,9.29,49.74,6.51,1.0,1.11,2.05,30,"(1920, 1080)",dinner_1080p30_segment_002.mp4
1.68,0.04,7.25,16.35,65.46,7.11,0.0,1.71,2.62,30,"(1920, 1080)",dinner_1080p30_segment_003.mp4
0.88,0.04,6.94,10.73,68.47,6.72,1.0,1.04,3.31,30,"(1920, 1080)",dinner_1080p30_segment_004.mp4
0.32,0.03,6.9,4.06,66.23,6.63,0.0,0.42,3.87,30,"(1920, 1080)",dinner_1080p30_segment_005.mp4
0.73,0.22,7.47,10.94,100.49,7.4,0.0,0.93,10.29,50,"(1920, 1080)",ducks_take_off_1080p50_segment_000.mp4
0.53,0.23,7.45,9.31,118.85,7.37,0.0,0.29,11.83,50,"(1920, 1080)",ducks_take_off_1080p50_segment_001.mp4
1.24,0.14,7.47,11.42,74.47,7.41,0.0,1.41,5.93,50,"(3840, 2160)",ducks_take_off_2160p50_segment_000.mp4
0.93,0.15,7.44,9.91,87.67,7.37,0.0,0.56,6.41,50,"(3840, 2160)",ducks_take_off_2160p50_segment_001.mp4
4.44,0.04,6.49,16.93,46.48,6.76,2.0,4.74,3.93,30,"(1920, 1080)",factory_1080p30_segment_000.mp4
8.31,0.04,7.08,22.2,53.9,7.2,10.0,8.22,4.44,30,"(1920, 1080)",factory_1080p30_segment_001.mp4
6.84,0.03,7.24,25.13,55.54,7.32,17.0,9.66,3.41,30,"(1920, 1080)",factory_1080p30_segment_002.mp4
9.3,0.06,7.16,29.74,71.79,7.25,29.0,8.09,4.9,30,"(1920, 1080)",factory_1080p30_segment_003.mp4
6.74,0.04,7.16,26.46,57.96,7.29,11.0,8.55,3.47,30,"(1920, 1080)",factory_1080p30_segment_004.mp4
5.71,0.03,6.91,22.56,50.48,7.07,5.0,9.16,3.29,30,"(1920, 1080)",factory_1080p30_segment_005.mp4
3.14,0.01,6.53,16.46,34.46,6.67,0.0,7.08,2.08,30,"(1920, 1080)",factory_1080p30_segment_006.mp4
6.18,0.02,6.66,18.34,41.6,6.83,0.0,10.62,2.54,30,"(1920, 1080)",factory_1080p30_segment_007.mp4
0.56,0.2,5.49,21.73,143.32,5.23,0.0,0.42,18.55,30,"(352, 288)",flower_cif_segment_000.mp4
1.06,0.2,7.64,27.51,170.2,7.41,0.0,0.76,17.18,30,"(720, 486)",flower_garden_422_ntsc_segment_000.mp4
1.94,0.23,7.79,30.23,161.23,7.69,0.0,1.35,16.48,30,"(720, 486)",flower_garden_422_ntsc_segment_001.mp4
1.48,0.14,7.15,22.26,118.8,7.11,0.0,1.83,10.18,30,"(720, 486)",football_422_ntsc_segment_000.mp4
3.91,0.11,7.04,22.96,104.82,7.01,0.0,2.91,8.36,30,"(720, 486)",football_422_ntsc_segment_001.mp4
4.16,0.12,6.65,24.24,97.59,6.64,0.0,2.51,9.45,30,"(352, 288)",football_cif_segment_000.mp4
0.77,0.13,7.4,10.02,115.1,7.43,0.0,0.75,9.37,30,"(352, 288)",foreman_cif_segment_000.mp4
2.2,0.15,7.43,14.33,97.2,7.44,0.0,1.1,9.61,30,"(352, 288)",foreman_cif_segment_001.mp4
0.16,0.1,7.58,4.58,95.31,7.57,0.0,0.43,7.03,60,"(1280, 720)",FourPeople_1280x720_60_segment_000.mp4
0.13,0.1,7.58,3.8,95.77,7.57,0.0,0.34,7.14,60,"(1280, 720)",FourPeople_1280x720_60_segment_001.mp4
0.04,0.17,7.69,3.04,187.41,7.52,0.0,0.06,18.35,30,"(720, 486)",galleon_422_ntsc_segment_000.mp4
0.04,0.17,7.73,2.94,186.6,7.59,0.0,0.07,18.38,30,"(720, 486)",galleon_422_ntsc_segment_001.mp4
0.04,0.11,6.88,1.43,97.18,6.64,0.0,0.05,7.65,30,"(176, 144)",grandma_qcif_segment_000.mp4
0.04,0.11,6.87,1.48,97.27,6.64,0.0,0.05,7.68,30,"(176, 144)",grandma_qcif_segment_001.mp4
0.05,0.11,6.9,1.45,96.73,6.67,0.0,0.05,7.64,30,"(176, 144)",grandma_qcif_segment_002.mp4
0.03,0.1,6.9,0.92,96.74,6.67,0.0,0.02,7.61,30,"(176, 144)",grandma_qcif_segment_003.mp4
0.04,0.1,6.89,1.37,96.72,6.67,0.0,0.04,7.61,30,"(176, 144)",grandma_qcif_segment_004.mp4
4.76,0.09,7.36,13.58,76.95,7.3,0.0,5.06,7.24,60,"(1920, 1080)",GTAV_segment_000.mp4
9.56,0.09,7.34,20.25,77.43,7.26,0.0,9.22,7.34,60,"(1920, 1080)",GTAV_segment_001.mp4
2.74,0.05,6.86,10.7,60.94,6.86,1.0,3.94,5.17,60,"(1920, 1080)",GTAV_segment_002.mp4
3.78,0.02,6.73,10.94,46.78,6.75,1.0,6.54,3.18,60,"(1920, 1080)",GTAV_segment_003.mp4
3.31,0.02,6.83,11.42,48.24,6.87,0.0,4.33,3.21,60,"(1920, 1080)",GTAV_segment_004.mp4
0.64,0.02,6.87,4.25,45.84,6.94,1.0,1.04,3.12,60,"(1920, 1080)",GTAV_segment_005.mp4
0.17,0.01,7.2,1.93,38.6,7.28,0.0,0.41,2.49,60,"(1920, 1080)",GTAV_segment_006.mp4
0.2,0.01,7.18,2.32,38.32,7.16,1.0,0.46,2.53,60,"(1920, 1080)",GTAV_segment_007.mp4
0.55,0.01,6.93,4.32,40.71,6.97,0.0,0.87,3.04,60,"(1920, 1080)",GTAV_segment_008.mp4
1.85,0.01,6.8,7.66,40.43,6.85,0.0,2.68,3.12,60,"(1920, 1080)",GTAV_segment_009.mp4
0.49,0.01,6.81,3.68,39.03,6.88,0.0,0.71,2.89,60,"(1920, 1080)",GTAV_segment_010.mp4
1.48,0.02,7.0,9.21,42.52,6.95,2.0,2.07,2.6,60,"(1920, 1080)",GTAV_segment_011.mp4
0.12,0.12,7.3,4.94,131.18,7.28,0.0,0.18,11.83,30,"(352, 288)",hall_monitor_cif_segment_000.mp4
0.1,0.12,7.3,3.98,131.5,7.28,0.0,0.12,11.87,30,"(352, 288)",hall_monitor_cif_segment_001.mp4
0.37,0.26,7.47,9.45,133.22,7.48,0.0,0.17,12.56,60,"(704, 576)",harbour_4cif_segment_000.mp4
0.18,0.27,7.47,6.16,135.04,7.47,0.0,0.16,12.85,60,"(704, 576)",harbour_4cif_segment_001.mp4
0.7,0.03,6.52,5.88,66.05,6.55,0.0,1.23,5.75,30,"(352, 288)",highway_cif_segment_000.mp4
0.67,0.03,6.5,5.52,66.61,6.51,0.0,1.19,5.81,30,"(352, 288)",highway_cif_segment_001.mp4
0.66,0.03,6.49,5.31,65.74,6.51,0.0,1.16,5.7,30,"(352, 288)",highway_cif_segment_002.mp4
0.72,0.03,6.36,6.62,69.54,6.38,0.0,1.21,5.98,30,"(352, 288)",highway_cif_segment_003.mp4
0.69,0.03,6.31,5.72,68.3,6.35,0.0,1.17,5.4,30,"(352, 288)",highway_cif_segment_004.mp4
0.74,0.04,6.35,6.11,67.99,6.39,0.0,1.19,5.36,30,"(352, 288)",highway_cif_segment_005.mp4
0.69,0.05,6.64,9.18,76.49,6.66,0.0,1.21,6.51,30,"(352, 288)",highway_cif_segment_007.mp4
1.14,0.05,6.38,14.33,88.61,6.43,0.0,1.65,6.8,30,"(352, 288)",highway_cif_segment_008.mp4
0.54,0.04,6.72,5.16,66.38,6.74,0.0,0.99,5.23,30,"(352, 288)",highway_cif_segment_009.mp4
0.43,0.04,6.86,4.59,66.6,6.89,0.0,0.78,5.19,30,"(352, 288)",highway_cif_segment_010.mp4
0.6,0.04,7.07,6.15,66.44,7.09,0.0,0.89,5.16,30,"(352, 288)",highway_cif_segment_011.mp4
0.42,0.05,7.22,4.89,71.24,7.24,0.0,0.67,5.4,30,"(352, 288)",highway_cif_segment_012.mp4
1.25,0.3,7.64,28.86,129.77,7.63,71.0,0.69,23.77,30,"(352, 288)",husky_cif_segment_000.mp4
0.46,0.04,5.25,12.61,86.72,5.3,0.0,0.85,5.13,60,"(704, 576)",ice_4cif_segment_000.mp4
1.02,0.06,7.32,5.2,87.89,7.21,0.0,0.68,6.23,30,"(720, 486)",intros_422_ntsc_segment_000.mp4
1.61,0.06,7.07,7.89,85.46,6.98,0.0,1.23,6.01,30,"(720, 486)",intros_422_ntsc_segment_001.mp4
0.75,0.05,7.11,8.38,58.58,7.07,0.0,0.6,5.57,50,"(1920, 1080)",in_to_tree_1080p50_segment_000.mp4
1.84,0.09,6.59,10.51,48.81,6.32,0.0,1.0,5.83,50,"(1920, 1080)",in_to_tree_1080p50_segment_001.mp4
0.11,0.04,7.03,2.38,88.79,7.18,0.0,0.24,5.08,60,"(1280, 720)",Johnny_1280x720_60_segment_000.mp4
0.08,0.04,7.0,1.87,88.16,7.18,0.0,0.22,5.08,60,"(1280, 720)",Johnny_1280x720_60_segment_001.mp4
0.19,0.05,7.36,3.57,102.75,7.39,0.0,0.42,7.08,60,"(1280, 720)",KristenAndSara_1280x720_60_segment_000.mp4
0.17,0.06,7.41,3.19,103.65,7.44,0.0,0.33,7.12,60,"(1280, 720)",KristenAndSara_1280x720_60_segment_001.mp4
1.6,0.06,7.48,17.12,103.7,7.45,4.0,2.6,6.91,30,"(1920, 1080)",life_1080p30_segment_000.mp4
2.19,0.05,7.26,12.98,50.87,7.14,0.0,4.36,5.36,30,"(1920, 1080)",life_1080p30_segment_001.mp4
3.08,0.05,7.4,18.77,67.1,7.27,6.0,5.49,5.6,30,"(1920, 1080)",life_1080p30_segment_002.mp4
1.92,0.06,7.63,21.24,86.42,7.55,8.0,4.07,5.93,30,"(1920, 1080)",life_1080p30_segment_003.mp4
1.4,0.05,6.91,14.5,75.23,6.86,2.0,3.05,5.82,30,"(1920, 1080)",life_1080p30_segment_004.mp4
0.2,0.11,7.12,3.79,87.79,6.97,0.0,0.25,7.24,30,"(352, 288)",mad900_cif_segment_000.mp4
0.13,0.1,7.15,2.56,88.17,6.97,0.0,0.15,7.28,30,"(352, 288)",mad900_cif_segment_001.mp4
0.11,0.1,7.21,2.11,88.23,6.99,0.0,0.12,7.25,30,"(352, 288)",mad900_cif_segment_002.mp4
0.14,0.11,7.17,3.08,85.7,6.99,0.0,0.17,7.28,30,"(352, 288)",mad900_cif_segment_003.mp4
0.22,0.1,7.2,4.16,85.22,7.02,0.0,0.32,7.25,30,"(352, 288)",mad900_cif_segment_004.mp4
0.28,0.1,7.17,4.81,86.78,6.99,0.0,0.35,7.19,30,"(352, 288)",mad900_cif_segment_005.mp4
7.14,0.07,6.62,25.05,91.38,6.38,0.0,6.86,7.34,60,"(1920, 1080)",MINECRAFT_segment_000.mp4
8.61,0.1,6.69,21.4,82.31,6.59,0.0,6.71,7.73,60,"(1920, 1080)",MINECRAFT_segment_001.mp4
5.54,0.11,6.97,19.23,84.77,7.02,0.0,3.93,8.1,60,"(1920, 1080)",MINECRAFT_segment_002.mp4
7.46,0.06,7.05,17.59,78.51,7.18,2.0,6.25,6.61,60,"(1920, 1080)",MINECRAFT_segment_003.mp4
1.98,0.02,5.99,8.42,75.52,6.12,0.0,3.41,5.66,60,"(1920, 1080)",MINECRAFT_segment_004.mp4
2.87,0.04,5.94,10.33,94.23,6.04,1.0,4.26,7.14,60,"(1920, 1080)",MINECRAFT_segment_005.mp4
3.59,0.03,5.81,10.97,96.44,6.12,0.0,5.52,7.25,60,"(1920, 1080)",MINECRAFT_segment_006.mp4
1.94,0.04,6.05,6.77,82.05,6.49,0.0,2.34,6.51,60,"(1920, 1080)",MINECRAFT_segment_007.mp4
3.68,0.04,6.25,10.04,64.65,6.59,0.0,4.05,5.12,60,"(1920, 1080)",MINECRAFT_segment_008.mp4
0.33,0.01,3.97,2.36,53.36,3.94,0.0,0.77,3.75,60,"(1920, 1080)",MINECRAFT_segment_009.mp4
0.0,0.01,2.67,0.67,53.16,2.63,0.0,0.01,3.7,60,"(1920, 1080)",MINECRAFT_segment_010.mp4
